Project Key,Project Name,Story Key,Status,Priority,Created,Summary
ADI,Investor,ADI-8970,Finalizada,Highest,2023-10-16T14:42:38.118-0600,Ajuste de distribución Fondo cerrado no aplicación de distribución
DFD,Defenders,DFD-4585,Finalizada,Highest,2023-10-11T16:35:23.928-0600,Enviar el ingreso de pensionado para cálculo Riesgo en Mantenimiento Clientes
DFD,Defenders,DFD-4584,Finalizada,Highest,2023-10-11T10:53:05.114-0600,Crear el mantenimiento de columnas por fuentes de información
DFD,Defenders,DFD-4583,Finalizada,Highest,2023-10-11T10:52:16.458-0600,Crear el mantenimiento de fuentes de información
PP,Bug Hunters,PP-9921,Finalizada,Highest,2023-10-10T15:58:37.488-0600,Generar la triangulación de anexo 45 recompras Recibidos en Garantia **PP-9922**
PP,Bug Hunters,PP-9919,Finalizada,Highest,2023-10-10T15:54:04.917-0600,Generar la triangulación de anexo 45 recompras dado en garantia**PP-9920**
OS,OPC Squad,OS-10746,Finalizada,Highest,2023-10-10T15:28:18.758-0600,Revisión Query salidas 348
OS,OPC Squad,OS-10745,Finalizada,Highest,2023-10-10T15:23:24.984-0600,Agregar campos a la consulta 316
OS,OPC Squad,OS-10744,Finalizada,Highest,2023-10-10T14:33:22.751-0600,Consulta de cumplimiento de permanencia por adendum
ADI,Investor,ADI-8957,Finalizada,Highest,2023-10-10T11:56:00.316-0600,Ajuste en tamaño de campo ingresos mensual en mantenimiento de clientes
ADI,Investor,ADI-8953,Finalizada,Highest,2023-10-10T11:29:17.302-0600,Ajuste en flujo de efectivo diario ***Ajuste por conciliación MMKP**ADI-8955**
ADI,Investor,ADI-8950,Finalizada,Highest,2023-10-10T11:09:20.602-0600,Guardar archivo csv de conciliación de MMKP **ADI-8951**
ADI,Investor,ADI-8949,Finalizada,Highest,2023-10-10T10:53:05.955-0600,Generar conciliación de MMKP **ADI-8951**
ET,BitCode Team,ET-13971,Finalizada,Highest,2023-10-09T15:49:51.858-0600,Creacion de usuario GAW en prod
ET,BitCode Team,ET-13970,Finalizada,Highest,2023-10-09T15:47:37.705-0600,BUFFER
ET,BitCode Team,ET-13969,Finalizada,Highest,2023-10-09T15:46:30.192-0600,Spike: Manejo de conciliaciones en T+1 para afiliados configurados
